Tanggal,Jam,Hari,Kategori,Menu,Harga,HPP,Qty,Omset,Profit,Hari_Angka,Is_Weekend
2025-01-27,8,Monday,Minuman,Kopi Gula Aren Python,20000,7000,1,20000,13000,0,0
2025-01-27,8,Monday,Minuman,Git Push Espresso (Double Shot),25000,5000,1,25000,20000,0,0
2025-01-27,8,Monday,Minuman,Matcha Learning,30000,11000,2,60000,38000,0,0
2025-01-27,8,Monday,Minuman,Lychee-nux Tea,25000,8000,3,75000,51000,0,0
2025-01-27,9,Monday,Minuman,Cookies & Cache Frappe,38000,14500,1,38000,23500,0,0
2025-01-27,9,Monday,Makanan,Spaghetti Code (Bug Free),38000,15000,1,38000,23000,0,0
2025-01-27,9,Monday,Minuman,Single Thread Espresso,15000,3500,2,30000,23000,0,0
2025-01-27,9,Monday,Minuman,Kopi Gula Aren Python,20000,7000,1,20000,13000,0,0
2025-01-27,9,Monday,Makanan,Spaghetti Code (Bug Free),38000,15000,3,114000,69000,0,0
2025-01-27,9,Monday,Minuman,Cookies & Cache Frappe,38000,14500,3,114000,70500,0,0
2025-01-27,9,Monday,Minuman,Null Pointer Americano,22000,4500,1,22000,17500,0,0
2025-01-27,10,Monday,Minuman,Lychee-nux Tea,25000,8000,2,50000,34000,0,0
2025-01-27,10,Monday,Minuman,Java Chip Frappe,35000,11000,1,35000,24000,0,0
2025-01-27,10,Monday,Minuman,Cookies & Cache Frappe,38000,14500,1,38000,23500,0,0
2025-01-27,10,Monday,Minuman,Git Push Espresso (Double Shot),25000,5000,3,75000,60000,0,0
2025-01-27,10,Monday,Minuman,Git Push Espresso (Double Shot),25000,5000,1,25000,20000,0,0
2025-01-27,11,Monday,Minuman,Cyberpunk Cold Brew,30000,9000,2,60000,42000,0,0
2025-01-27,11,Monday,Makanan,Sate Ayam Serverless,30000,12000,3,90000,54000,0,0
2025-01-27,11,Monday,Minuman,Java Chip Frappe,35000,11000,1,35000,24000,0,0
2025-01-27,12,Monday,Snack,Token Onion Rings,20000,6000,1,20000,14000,0,0
2025-01-27,12,Monday,Makanan,Spaghetti Code (Bug Free),38000,15000,1,38000,23000,0,0
2025-01-27,12,Monday,Makanan,Mie Goreng .NET Framework,28000,9500,1,28000,18500,0,0
2025-01-27,12,Monday,Makanan,Chicken Teriyaki Repo,32000,12500,1,32000,19500,0,0
2025-01-27,12,Monday,Minuman,Cookies & Cache Frappe,38000,14500,1,38000,23500,0,0
2025-01-27,12,Monday,Makanan,Burger Stack Overflow (Double Meat),55000,25000,1,55000,30000,0,0
2025-01-27,12,Monday,Makanan,Chicken Teriyaki Repo,32000,12500,1,32000,19500,0,0
2025-01-27,12,Monday,Makanan,Mie Goreng .NET Framework,28000,9500,1,28000,18500,0,0
2025-01-27,12,Monday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,1,45000,27000,0,0
2025-01-27,12,Monday,Makanan,Chicken Teriyaki Repo,32000,12500,1,32000,19500,0,0
2025-01-27,13,Monday,Minuman,Lychee-nux Tea,25000,8000,2,50000,34000,0,0
2025-01-27,13,Monday,Makanan,Burger Stack Overflow (Double Meat),55000,25000,2,110000,60000,0,0
2025-01-27,14,Monday,Makanan,Chicken Teriyaki Repo,32000,12500,1,32000,19500,0,0
2025-01-27,15,Monday,Minuman,Git Push Espresso (Double Shot),25000,5000,1,25000,20000,0,0
2025-01-27,15,Monday,Minuman,Latte.js,28000,9500,1,28000,18500,0,0
2025-01-27,15,Monday,Snack,Cireng Open Source,18000,5000,1,18000,13000,0,0
2025-01-27,16,Monday,Snack,Croissant.css,25000,10000,1,25000,15000,0,0
2025-01-27,16,Monday,Makanan,Chicken Teriyaki Repo,32000,12500,1,32000,19500,0,0
2025-01-27,16,Monday,Minuman,Cyberpunk Cold Brew,30000,9000,1,30000,21000,0,0
2025-01-27,17,Monday,Makanan,Fish & Chips.py,40000,16000,3,120000,72000,0,0
2025-01-27,17,Monday,Snack,Firewall Nachos (Pedas),28000,11000,3,84000,51000,0,0
2025-01-27,18,Monday,Snack,Cireng Open Source,18000,5000,1,18000,13000,0,0
2025-01-27,18,Monday,Snack,Croissant.css,25000,10000,1,25000,15000,0,0
2025-01-27,18,Monday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,1,35000,22000,0,0
2025-01-27,18,Monday,Minuman,Matcha Learning,30000,11000,1,30000,19000,0,0
2025-01-27,19,Monday,Minuman,Lychee-nux Tea,25000,8000,1,25000,17000,0,0
2025-01-27,19,Monday,Makanan,Spaghetti Code (Bug Free),38000,15000,1,38000,23000,0,0
2025-01-27,19,Monday,Minuman,Null Pointer Americano,22000,4500,3,66000,52500,0,0
2025-01-27,19,Monday,Snack,Full Stack Platter API,35000,14000,1,35000,21000,0,0
2025-01-27,19,Monday,Snack,Token Onion Rings,20000,6000,1,20000,14000,0,0
2025-01-27,19,Monday,Minuman,Kopi Gula Aren Python,20000,7000,3,60000,39000,0,0
2025-01-27,19,Monday,Minuman,Java Chip Frappe,35000,11000,1,35000,24000,0,0
2025-01-27,19,Monday,Makanan,Chicken Teriyaki Repo,32000,12500,1,32000,19500,0,0
2025-01-27,19,Monday,Makanan,Spaghetti Code (Bug Free),38000,15000,1,38000,23000,0,0
2025-01-27,20,Monday,Snack,Full Stack Platter API,35000,14000,1,35000,21000,0,0
2025-01-27,20,Monday,Minuman,Cookies & Cache Frappe,38000,14500,1,38000,23500,0,0
2025-01-27,20,Monday,Snack,Full Stack Platter API,35000,14000,1,35000,21000,0,0
2025-01-27,20,Monday,Minuman,Java Chip Frappe,35000,11000,2,70000,48000,0,0
2025-01-27,20,Monday,Snack,French Fries.zip,22000,7500,1,22000,14500,0,0
2025-01-27,20,Monday,Snack,Full Stack Platter API,35000,14000,1,35000,21000,0,0
2025-01-27,20,Monday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,1,45000,27000,0,0
2025-01-27,20,Monday,Minuman,Null Pointer Americano,22000,4500,1,22000,17500,0,0
2025-01-27,20,Monday,Minuman,Null Pointer Americano,22000,4500,1,22000,17500,0,0
2025-01-27,21,Monday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,1,35000,22000,0,0
2025-01-27,21,Monday,Minuman,Cyberpunk Cold Brew,30000,9000,1,30000,21000,0,0
2025-01-27,22,Monday,Snack,French Fries.zip,22000,7500,1,22000,14500,0,0
2025-01-27,22,Monday,Minuman,Cloud Macchiato 200 OK,35000,12000,1,35000,23000,0,0
2025-01-27,22,Monday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,1,35000,22000,0,0
2025-01-27,22,Monday,Minuman,Ruby on Rose Tea,26000,7500,1,26000,18500,0,0
2025-01-27,22,Monday,Minuman,Single Thread Espresso,15000,3500,1,15000,11500,0,0
2025-01-27,22,Monday,Minuman,Latte.js,28000,9500,1,28000,18500,0,0
2025-01-27,22,Monday,Snack,Full Stack Platter API,35000,14000,1,35000,21000,0,0
2025-01-28,8,Tuesday,Minuman,Latte.js,28000,9500,1,28000,18500,1,0
2025-01-28,8,Tuesday,Minuman,Cyberpunk Cold Brew,30000,9000,1,30000,21000,1,0
2025-01-28,8,Tuesday,Minuman,Ruby on Rose Tea,26000,7500,1,26000,18500,1,0
2025-01-28,8,Tuesday,Minuman,Java Chip Frappe,35000,11000,1,35000,24000,1,0
2025-01-28,8,Tuesday,Minuman,Kopi Gula Aren Python,20000,7000,1,20000,13000,1,0
2025-01-28,8,Tuesday,Minuman,Lychee-nux Tea,25000,8000,1,25000,17000,1,0
2025-01-28,8,Tuesday,Minuman,Kopi Gula Aren Python,20000,7000,1,20000,13000,1,0
2025-01-28,9,Tuesday,Minuman,Single Thread Espresso,15000,3500,3,45000,34500,1,0
2025-01-28,9,Tuesday,Minuman,Lychee-nux Tea,25000,8000,2,50000,34000,1,0
2025-01-28,9,Tuesday,Minuman,Cookies & Cache Frappe,38000,14500,1,38000,23500,1,0
2025-01-28,9,Tuesday,Makanan,Mie Goreng .NET Framework,28000,9500,1,28000,18500,1,0
2025-01-28,9,Tuesday,Minuman,Null Pointer Americano,22000,4500,1,22000,17500,1,0
2025-01-28,9,Tuesday,Minuman,Null Pointer Americano,22000,4500,3,66000,52500,1,0
2025-01-28,10,Tuesday,Makanan,Sate Ayam Serverless,30000,12000,2,60000,36000,1,0
2025-01-28,10,Tuesday,Minuman,Cyberpunk Cold Brew,30000,9000,1,30000,21000,1,0
2025-01-28,10,Tuesday,Minuman,Single Thread Espresso,15000,3500,1,15000,11500,1,0
2025-01-28,10,Tuesday,Minuman,Cookies & Cache Frappe,38000,14500,1,38000,23500,1,0
2025-01-28,10,Tuesday,Minuman,Java Chip Frappe,35000,11000,2,70000,48000,1,0
2025-01-28,10,Tuesday,Minuman,Single Thread Espresso,15000,3500,1,15000,11500,1,0
2025-01-28,13,Tuesday,Makanan,Fish & Chips.py,40000,16000,1,40000,24000,1,0
2025-01-28,13,Tuesday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,1,45000,27000,1,0
2025-01-28,13,Tuesday,Makanan,Sate Ayam Serverless,30000,12000,2,60000,36000,1,0
2025-01-28,13,Tuesday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,2,70000,44000,1,0
2025-01-28,14,Tuesday,Snack,Croissant.css,25000,10000,1,25000,15000,1,0
2025-01-28,14,Tuesday,Snack,French Fries.zip,22000,7500,1,22000,14500,1,0
2025-01-28,14,Tuesday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,1,45000,27000,1,0
2025-01-28,14,Tuesday,Makanan,Burger Stack Overflow (Double Meat),55000,25000,2,110000,60000,1,0
2025-01-28,14,Tuesday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,1,45000,27000,1,0
2025-01-28,14,Tuesday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,2,70000,44000,1,0
2025-01-28,15,Tuesday,Minuman,Latte.js,28000,9500,2,56000,37000,1,0
2025-01-28,15,Tuesday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,1,45000,27000,1,0
2025-01-28,16,Tuesday,Snack,Token Onion Rings,20000,6000,2,40000,28000,1,0
2025-01-28,16,Tuesday,Minuman,Ruby on Rose Tea,26000,7500,1,26000,18500,1,0
2025-01-28,17,Tuesday,Snack,Full Stack Platter API,35000,14000,1,35000,21000,1,0
2025-01-28,17,Tuesday,Snack,Croissant.css,25000,10000,1,25000,15000,1,0
2025-01-28,17,Tuesday,Minuman,Git Push Espresso (Double Shot),25000,5000,2,50000,40000,1,0
2025-01-28,17,Tuesday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,1,45000,27000,1,0
2025-01-28,17,Tuesday,Makanan,Chicken Teriyaki Repo,32000,12500,1,32000,19500,1,0
2025-01-28,18,Tuesday,Minuman,Null Pointer Americano,22000,4500,1,22000,17500,1,0
2025-01-28,18,Tuesday,Minuman,Cloud Macchiato 200 OK,35000,12000,1,35000,23000,1,0
2025-01-28,18,Tuesday,Snack,Full Stack Platter API,35000,14000,3,105000,63000,1,0
2025-01-28,18,Tuesday,Minuman,Null Pointer Americano,22000,4500,1,22000,17500,1,0
2025-01-28,19,Tuesday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,1,45000,27000,1,0
2025-01-28,19,Tuesday,Minuman,Java Chip Frappe,35000,11000,1,35000,24000,1,0
2025-01-28,19,Tuesday,Minuman,Null Pointer Americano,22000,4500,1,22000,17500,1,0
2025-01-28,19,Tuesday,Makanan,Mie Goreng .NET Framework,28000,9500,1,28000,18500,1,0
2025-01-28,19,Tuesday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,2,90000,54000,1,0
2025-01-28,20,Tuesday,Snack,Potato Wedges Widget,24000,8000,1,24000,16000,1,0
2025-01-28,20,Tuesday,Snack,Potato Wedges Widget,24000,8000,1,24000,16000,1,0
2025-01-28,20,Tuesday,Snack,Cireng Open Source,18000,5000,2,36000,26000,1,0
2025-01-28,20,Tuesday,Snack,Firewall Nachos (Pedas),28000,11000,1,28000,17000,1,0
2025-01-28,20,Tuesday,Makanan,Mie Goreng .NET Framework,28000,9500,1,28000,18500,1,0
2025-01-28,20,Tuesday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,1,35000,22000,1,0
2025-01-28,20,Tuesday,Makanan,Chicken Teriyaki Repo,32000,12500,1,32000,19500,1,0
2025-01-28,21,Tuesday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,1,35000,22000,1,0
2025-01-28,21,Tuesday,Snack,Firewall Nachos (Pedas),28000,11000,1,28000,17000,1,0
2025-01-28,21,Tuesday,Snack,Potato Wedges Widget,24000,8000,1,24000,16000,1,0
2025-01-28,22,Tuesday,Minuman,Lychee-nux Tea,25000,8000,2,50000,34000,1,0
2025-01-28,22,Tuesday,Minuman,Java Chip Frappe,35000,11000,3,105000,72000,1,0
2025-01-28,22,Tuesday,Snack,Firewall Nachos (Pedas),28000,11000,1,28000,17000,1,0
2025-01-28,22,Tuesday,Snack,Token Onion Rings,20000,6000,2,40000,28000,1,0
2025-01-28,22,Tuesday,Snack,Firewall Nachos (Pedas),28000,11000,1,28000,17000,1,0
2025-01-28,22,Tuesday,Snack,French Fries.zip,22000,7500,1,22000,14500,1,0
